iter	Passed	Remaining
0	209	209499
1	210	105075
2	211	70447
3	213	53137
4	214	42732
5	216	35841
6	217	30793
7	219	27163
8	225	24790
9	226	22380
10	227	20442
11	228	18849
12	230	17471
13	231	16304
14	232	15287
15	234	14391
16	234	13586
17	236	12893
18	238	12298
19	241	11835
20	243	11350
21	244	10890
22	246	10473
23	248	10103
24	249	9728
25	250	9398
26	252	9092
27	253	8805
28	254	8525
29	255	8274
30	257	8043
31	258	7826
32	260	7625
33	261	7434
34	262	7241
35	263	7065
36	265	6902
37	266	6746
38	267	6603
39	269	6465
40	270	6337
41	272	6212
42	273	6092
43	275	5978
44	276	5867
45	277	5765
46	279	5666
47	280	5568
48	282	5480
49	284	5398
50	285	5315
51	287	5234
52	288	5154
53	290	5082
54	291	5007
55	293	4940
56	294	4874
57	296	4811
58	310	4952
59	313	4907
60	316	4867
61	318	4824
62	329	4897
63	331	4854
64	334	4812
65	342	4850
66	345	4812
67	348	4774
68	350	4735
69	374	4975
70	376	4928
71	378	4876
72	384	4876
73	385	4827
74	387	4782
75	389	4730
76	390	4677
77	392	4635
78	393	4591
79	395	4552
80	397	4505
81	398	4466
82	399	4418
83	401	4379
84	403	4342
85	405	4305
86	406	4267
87	407	4225
88	409	4192
89	411	4157
90	412	4117
91	414	4086
92	415	4051
93	416	4010
94	417	3979
95	419	3951
96	420	3914
97	421	3882
98	423	3852
99	424	3817
100	502	4475
101	510	4495
102	516	4496
103	521	4492
104	528	4507
105	533	4500
106	536	4477
107	550	4547
108	564	4615
109	566	4581
110	567	4546
111	568	4510
112	570	4474
113	576	4482
114	578	4452
115	580	4424
116	593	4476
117	600	4486
118	607	4494
119	618	4536
120	624	4536
121	633	4557
122	641	4572
123	646	4567
124	651	4557
125	654	4538
126	657	4516
127	663	4518
128	670	4529
129	678	4543
130	684	4542
131	689	4534
132	701	4571
133	710	4589
134	714	4577
135	717	4557
136	722	4551
137	727	4546
138	730	4524
139	737	4532
140	744	4532
141	755	4563
142	761	4560
143	764	4543
144	769	4538
145	772	4517
146	780	4526
147	786	4527
148	792	4525
149	801	4539
150	828	4658
151	839	4681
152	859	4756
153	883	4855
154	888	4845
155	898	4859
156	906	4869
157	916	4883
158	925	4895
159	940	4935
160	949	4946
161	950	4918
162	966	4961
163	974	4965
164	981	4968
165	994	4994
166	1002	5000
167	1010	5003
168	1019	5015
169	1026	5010
170	1032	5007
171	1042	5019
172	1054	5042
173	1057	5020
174	1065	5024
175	1070	5013
176	1078	5016
177	1089	5032
178	1105	5070
179	1113	5071
180	1123	5085
181	1126	5063
182	1130	5049
183	1138	5047
184	1145	5045
185	1148	5026
186	1156	5027
187	1167	5042
188	1170	5021
189	1173	5003
190	1186	5027
191	1205	5073
192	1223	5117
193	1236	5138
194	1255	5184
195	1262	5177
196	1268	5172
197	1277	5176
198	1287	5181
199	1302	5210
200	1311	5214
201	1327	5243
202	1337	5252
203	1339	5226
204	1359	5271
205	1369	5278
206	1465	5614
207	1473	5610
208	1482	5612
209	1487	5597
210	1496	5597
211	1501	5582
212	1507	5571
213	1515	5566
214	1520	5553
215	1529	5551
216	1534	5536
217	1542	5531
218	1548	5522
219	1553	5508
220	1558	5494
221	1564	5484
222	1568	5465
223	1571	5445
224	1576	5429
225	1581	5417
226	1585	5398
227	1591	5389
228	1597	5377
229	1605	5376
230	1610	5362
231	1616	5349
232	1625	5351
233	1633	5348
234	1638	5332
235	1642	5315
236	1649	5311
237	1654	5298
238	1657	5278
239	1669	5287
240	1676	5278
241	1680	5263
242	1685	5249
243	1691	5240
244	1695	5226
245	1699	5209
246	1706	5201
247	1709	5183
248	1714	5170
249	1718	5155
250	1721	5137
251	1728	5129
252	1731	5112
253	1734	5094
254	1738	5078
255	1741	5061
256	1747	5053
257	1752	5039
258	1759	5034
259	1766	5028
260	1774	5024
261	1785	5030
262	1797	5036
263	1806	5036
264	1809	5017
265	1816	5011
266	1824	5009
267	1831	5002
268	1842	5007
269	1852	5008
270	1857	4997
271	1863	4987
272	1866	4971
273	1872	4962
274	1881	4960
275	1886	4947
276	1891	4936
277	1898	4930
278	1902	4917
279	1906	4903
280	1909	4886
281	1915	4878
282	1919	4863
283	1928	4861
284	1932	4848
285	1937	4836
286	1942	4825
287	1947	4813
288	1950	4798
289	1958	4794
290	1961	4779
291	1969	4774
292	1976	4769
293	1982	4760
294	1987	4749
295	1995	4746
296	1998	4731
297	2007	4728
298	2009	4711
299	2013	4697
300	2017	4684
301	2022	4675
302	2025	4658
303	2028	4643
304	2030	4625
305	2037	4620
306	2044	4616
307	2048	4601
308	2053	4591
309	2056	4577
310	2058	4560
311	2062	4548
312	2068	4540
313	2074	4532
314	2079	4522
315	2084	4512
316	2092	4508
317	2095	4494
318	2099	4482
319	2107	4478
320	2115	4474
321	2120	4464
322	2123	4450
323	2136	4457
324	2143	4452
325	2157	4461
326	2169	4465
327	2176	4459
328	2194	4475
329	2203	4473
330	2214	4475
331	2240	4508
332	2251	4510
333	2256	4500
334	2262	4491
335	2272	4491
336	2286	4498
337	2289	4483
338	2299	4484
339	2308	4481
340	2326	4496
341	2335	4493
342	2344	4490
343	2353	4488
344	2363	4486
345	2381	4501
346	2401	4518
347	2414	4524
348	2430	4533
349	2437	4526
350	2445	4520
351	2454	4518
352	2469	4526
353	2479	4524
354	2486	4517
355	2490	4505
356	2494	4492
357	2500	4485
358	2509	4481
359	2518	4477
360	2527	4473
361	2535	4469
362	2544	4464
363	2553	4461
364	2556	4447
365	2559	4433
366	2562	4419
367	2570	4415
368	2578	4409
369	2586	4404
370	2594	4398
371	2602	4392
372	2607	4382
373	2610	4368
374	2636	4394
375	2645	4391
376	2659	4395
377	2671	4396
378	2691	4410
379	2713	4427
380	2720	4420
381	2726	4411
382	2729	4397
383	2731	4382
384	2733	4366
385	2740	4359
386	2743	4345
387	2746	4331
388	2748	4317
389	2754	4308
390	2758	4296
391	2760	4280
392	2762	4266
393	2763	4250
394	2763	4233
395	2764	4216
396	2765	4199
397	2771	4192
398	2775	4180
399	2782	4173
400	2787	4164
401	2790	4151
402	2802	4151
403	2809	4145
404	2812	4132
405	2815	4119
406	2820	4109
407	2830	4107
408	2836	4099
409	2839	4086
410	2842	4073
411	2849	4066
412	2857	4061
413	2862	4052
414	2872	4049
415	2877	4039
416	2881	4028
417	2891	4025
418	2898	4019
419	2903	4009
420	2908	3999
421	2910	3986
422	2917	3980
423	2923	3971
424	2926	3959
425	2931	3950
426	2934	3937
427	2940	3930
428	2947	3923
429	2955	3918
430	2962	3910
431	2971	3907
432	2989	3915
433	3001	3913
434	3021	3924
435	3042	3935
436	3052	3933
437	3065	3933
438	3075	3930
439	3084	3925
440	3090	3917
441	3094	3906
442	3097	3895
443	3103	3886
444	3112	3881
445	3120	3875
446	3127	3869
447	3130	3857
448	3140	3853
449	3147	3846
450	3154	3839
451	3158	3829
452	3161	3817
453	3171	3814
454	3176	3805
455	3184	3799
456	3189	3790
457	3196	3782
458	3201	3773
459	3207	3764
460	3210	3754
461	3223	3753
462	3226	3742
463	3235	3738
464	3240	3728
465	3243	3716
466	3250	3709
467	3256	3701
468	3259	3690
469	3263	3679
470	3269	3672
471	3275	3664
472	3282	3657
473	3288	3649
474	3291	3638
475	3296	3629
476	3302	3621
477	3304	3609
478	3312	3603
479	3317	3594
480	3325	3588
481	3331	3580
482	3338	3573
483	3344	3565
484	3351	3558
485	3357	3550
486	3364	3544
487	3371	3536
488	3378	3530
489	3385	3523
490	3391	3515
491	3399	3510
492	3407	3504
493	3413	3496
494	3421	3490
495	3437	3493
496	3447	3488
497	3450	3477
498	3453	3466
499	3471	3471
500	3479	3465
501	3487	3459
502	3497	3455
503	3504	3449
504	3514	3444
505	3523	3439
506	3526	3429
507	3534	3422
508	3540	3415
509	3555	3415
510	3563	3410
511	3573	3406
512	3587	3405
513	3601	3405
514	3609	3399
515	3619	3395
516	3636	3397
517	3645	3391
518	3659	3391
519	3669	3387
520	3685	3388
521	3694	3383
522	3701	3375
523	3705	3365
524	3717	3363
525	3724	3356
526	3728	3346
527	3737	3341
528	3746	3335
529	3760	3334
530	3762	3323
531	3772	3318
532	3779	3311
533	3785	3303
534	3793	3297
535	3798	3287
536	3807	3282
537	3815	3276
538	3824	3270
539	3833	3265
540	3836	3255
541	3842	3247
542	3847	3237
543	3856	3232
544	3871	3232
545	3881	3227
546	3892	3223
547	3906	3222
548	3930	3228
549	3941	3224
550	3961	3228
551	3970	3222
552	3985	3221
553	3991	3213
554	3994	3202
555	4001	3195
556	4010	3189
557	4019	3183
558	4032	3181
559	4041	3175
560	4049	3168
